word,frequency
the,328399
and,159876
a,158796
of,143430
to,132186
is,103408
it,92335
in,92307
i,82227
this,70697
that,70107
's,60071
was,47259
as,44472
with,43095
movie,42843
for,42842
but,40829
film,38797
you,34414
on,33595
't,32912
not,29836
are,28837
he,28549
his,28101
have,27382
one,26304
be,26285
n,25978
at,23166
all,22608
they,22352
by,21877
an,21278
who,20724
so,20086
from,19852
like,19724
there,18132
or,17532
just,17284
out,16879
if,16672
about,16652
has,16221
her,16187
what,15476
some,15285
good,14343
can,14315
more,13644
very,13590
when,13517
up,12897
she,12877
no,12382
would,12144
even,12136
my,12132
time,12098
see,11435
their,11354
which,11331
only,11284
really,11280
story,10911
had,10746
me,10452
were,10396
well,10293
we,10264
',9605
much,9467
than,9407
other,9052
get,9049
been,9048
bad,8911
will,8880
do,8868
great,8866
also,8798
people,8765
into,8724
don,8671
because,8647
how,8613
most,8540
him,8471
first,8258
them,7858
then,7850
its,7847
make,7841
made,7691
could,7622
way,7498
movies,7469
any,7349
too,7348
characters,7199
after,7105
think,6992
watch,6891
character,6785
films,6761
many,6730
seen,6594
two,6556
never,6471
love,6455
being,6428
did,6253
know,6247
where,6246
show,6244
acting,6220
plot,6215
life,6140
best,6125
little,5969
off,5932
ever,5873
over,5819
your,5804
man,5692
does,5653
better,5604
scene,5466
end,5338
these,5271
say,5257
still,5221
ni,5220
scenes,5190
here,5072
've,4994
something,4992
while,4933
such,4852
why,4840
go,4740
should,4711
through,4701
those,4674
'm,4640
back,4603
real,4601
thing,4522
watching,4492
now,4459
didn,4415
actors,4364
funny,4324
doesn,4316
actually,4213
another,4171
years,4160
makes,4100
though,4097
look,4097
before,4091
work,4090
old,4084
lot,4078
find,4074
going,4066
director,4035
nothing,4020
same,4019
every,3950
few,3872
part,3802
new,3748
're,3714
again,3685
down,3643
nthis,3624
&,3606
world,3587
things,3584
want,3582
pretty,3557
us,3539
cast,3527
quite,3523
around,3510
thought,3461
horror,3458
take,3449
seems,3445
big,3440
long,3394
enough,3394
however,3393
both,3373
fact,3367
young,3355
got,3349
music,3331
give,3319
must,3278
guy,3276
own,3225
may,3201
comedy,3185
between,3182
without,3146
saw,3129
isn,3120
almost,3098
series,3079
always,3077
come,3072
role,3066
times,3061
whole,3036
gets,3027
action,3005
done,3002
interesting,3000
far,2997
least,2979
right,2959
am,2929
original,2920
bit,2895
point,2878
minutes,2872
tv,2869
might,2866
feel,2864
'll,2858
script,2835
since,2802
making,2791
xc2,2779
anything,2775
kind,2756
probably,2756
last,2735
away,2669
yet,2665
anyone,2656
performance,2633
each,2624
family,2616
fun,2610
played,2589
girl,2586
found,2578
hard,2574
sure,2567
worst,2567
looking,2551
rather,2544
xc3,2509
screen,2503
woman,2501
dvd,2498
our,2496
believe,2471
especially,2457
day,2440
everything,2431
trying,2427
worth,2388
shows,2385
three,2375
although,2362
put,2358
course,2356
war,2348
maybe,2344
ending,2341
main,2341
set,2315
american,2309
goes,2302
having,2292
book,2282
2,2278
effects,2268
comes,2264
let,2263
play,2262
different,2260
watched,2247
place,2243
someone,2241
sense,2232
once,2217
everyone,2210
half,2186
reason,2175
10,2170
together,2165
'd,2164
actor,2163
wasn,2159
during,2152
high,2148
job,2135
true,2127
plays,2115
black,2102
special,2102
looks,2096
instead,2093
year,2092
audience,2082
money,2077
takes,2071
said,2063
left,2056
later,2053
seem,2053
seeing,2042
shot,2023
beautiful,2012
budget,1995
idea,1994
night,1989
used,1987
fan,1984
himself,1979
death,1979
john,1977
excellent,1962
along,1956
mind,1948
else,1939
short,1938
wife,1937
completely,1934
version,1933
poor,1913
top,1883
men,1878
simply,1875
star,1862
house,1843
second,1841
school,1838
nice,1827
friends,1812
read,1801
camera,1796
home,1790
kids,1776
boring,1775
production,1775
stupid,1774
either,1771
help,1769
dead,1768
full,1762
use,1758
low,1757
next,1748
line,1745
less,1743
try,1742
hollywood,1739
need,1738
couple,1737
recommend,1730
father,1728
until,1721
given,1713
truly,1711
women,1705
classic,1690
enjoy,1689
video,1683
sex,1682
getting,1678
start,1665
rest,1659
mother,1652
tell,1649
performances,1644
understand,1642
awful,1637
name,1636
itself,1635
came,1631
terrible,1629
keep,1629
wrong,1626
won,1617
person,1615
mean,1605
human,1599
moments,1587
remember,1586
style,1578
3,1571
perhaps,1564
laugh,1561
playing,1559
boy,1558
face,1558
head,1551
others,1549
nthe,1549
children,1542
went,1537
small,1530
couldn,1530
wonderful,1529
guys,1526
definitely,1517
often,1512
perfect,1511
dialogue,1511
piece,1506
lines,1505
friend,1502
doing,1500
episode,1500
early,1495
certainly,1494
absolutely,1491
gives,1487
sound,1479
called,1477
loved,1476
written,1471
entertaining,1470
sort,1461
hope,1459
case,1453
title,1449
finally,1437
worse,1436
several,1432
totally,1425
liked,1423
live,1423
game,1416
humor,1402
picture,1400
based,1398
cinema,1398
entire,1397
mr,1396
become,1390
oh,1385
stars,1377
overall,1374
lead,1373
lost,1368
able,1363
dark,1361
wanted,1359
guess,1359
drama,1353
beginning,1350
felt,1346
yes,1344
seemed,1340
supposed,1338
final,1337
under,1328
1,1327
against,1314
waste,1313
problem,1311
care,1309
turn,1308
direction,1300
fans,1300
quality,1295
throughout,1293
matter,1290
despite,1284
days,1283
lives,1282
white,1280
already,1274
horrible,1268
run,1266
becomes,1265
side,1259
unfortunately,1255
wants,1238
example,1232
son,1231
history,1230
group,1226
flick,1226
evil,1219
etc,1213
kill,1213
today,1210
fine,1207
heart,1201
act,1195
writing,1193
town,1190
gave,1189
parts,1188
stuff,1188
stop,1179
killed,1178
michael,1177
god,1176
works,1170
enjoyed,1165
close,1164
brilliant,1163
kid,1162
car,1162
eyes,1158
turns,1158
amazing,1157
viewer,1155
killer,1155
art,1154
city,1154
tries,1154
expect,1153
hour,1151
directed,1151
favorite,1150
x96,1149
type,1147
past,1145
obviously,1143
known,1143
b,1143
late,1140
none,1139
genre,1135
girls,1128
myself,1126
took,1125
behind,1121
decent,1119
says,1118
themselves,1117
happens,1117
5,1117
child,1116
experience,1113
highly,1111
hand,1111
coming,1110
daughter,1110
soon,1107
heard,1100
self,1085
except,1079
starts,1076
voice,1076
sometimes,1074
actress,1073
told,1066
looked,1063
save,1057
cool,1055
extremely,1054
hilarious,1052
robert,1051
feeling,1049
score,1049
lack,1049
fight,1045
4,1045
blood,1041
taken,1039
wonder,1038
slow,1036
anyway,1036
involved,1036
moment,1034
serious,1034
thinking,1033
david,1029
shown,1028
chance,1027
leave,1026
including,1025
wouldn,1025
hero,1024
song,1019
simple,1019
police,1018
complete,1014
living,1013
hell,1011
english,1010
cut,1010
happen,1008
particularly,1008
strong,1006
across,1005
opening,1004
released,1000
cannot,1000
jokes,1000
hit,996
reality,996
violence,991
talent,987
attempt,987
crap,982
saying,979
obvious,975
beyond,970
ago,970
murder,970
huge,968
view,965
order,965
wish,964
husband,964
james,960
gore,959
roles,958
documentary,955
exactly,954
usually,954
hours,954
call,953
happened,953
relationship,952
stories,951
brother,951
non,950
sad,949
seriously,948
important,945
number,944
country,943
shots,941
cinematography,940
please,939
four,939
interest,937
silly,937
turned,935
upon,935
power,932
taking,931
major,930
career,926
female,925
running,925
knew,924
middle,922
monster,921
clich,920
possible,918
annoying,918
